VarName,ready,Conventions,category,orig_order,index_function,N_parameters,parameter_name,N_inputs,allowed_freq,default_freq,OUTPUT_standard_name,OUTPUT_standard_name_table_version,OUTPUT_proposed_standard_name,OUTPUT_cell_methods,OUTPUT_long_name,OUTPUT_canonical_units,OUTPUT_units,OUTPUT_user_units,OUTPUT_reference,PARAMETER_definition,PARAMETER_VarName,PARAMETER_standard_name,PARAMETER_value,PARAMETER_units,PARAMETER_relop,INPUT_variable,INPUT_timeresol,INPUT_standard_name,INPUT_cell_methods,ET_short_name,ET_long_name,ET_definition,ET_comment,,,,,,,,,,,
txmin,1,CF-1.5,3,48,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: maximum within days time: minimum over days,Minimum daily maximum temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: minimum,,,,,,tasmax,day,air_temperature,time: minimum,_,_,_,maximum of daily mean temperature,,,,,,,,,,,FUN_min
tnmin,1,CF-1.5,3,49,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: minimum within days time: minimum over days,Minimum daily minimum temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: minimum,,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,minimum of daily mean temperature,,,,,,,,,,,FUN_min
txmean,1,CF-1.5,3,50,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: maximum within days time: mean over days,Mean daily maximum temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: mean,,,,,,tasmax,day,air_temperature,time: mean,_,_,_,mean of daily maximum temperature,,,,,,,,,,,FUN_mean
tnmean,1,CF-1.5,3,51,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: minimum within days time: mean over days,Mean daily minimum temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: mean,,,,,,tasmin,day,air_temperature,time: mean,_,_,_,mean of daily minimum temperature,,,,,,,,,,,FUN_mean
tmmax,1,CF-1.5,3,52,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: mean within days time: maximum over days,Maximum daily mean temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: maximum,,,,,,tas,day,air_temperature,time: mean,_,_,_,maximum of daily mean temperature,,,,,,,,,,,FUN_max
tmmin,1,CF-1.5,3,53,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: mean within days time: maximum over days,Minimum daily mean temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: minimum,,,,,,tas,day,air_temperature,time: mean,_,_,_,minimum of daily mean temperature,,,,,,,,,,,FUN_min
tmmean,1,CF-1.5,3,54,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: mean within days time: mean over days,Mean daily mean temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: mean,,,,,,tas,day,air_temperature,time: mean,_,_,_,mean of daily mean temperature,,,,,,,,,,,FUN_mean
wsdi,0,NOT,1,55,wsdi,2,??????,1,ann,ann,,,??????,??????,"Warm Spell Duration Index, count of days with at least 6 consecutive days when Tmax > 90th percentile",1,1,days,ETCCDI,,"threshold_duration, threshold_temp","??????, air_temperature","6, 0.90","day, 1 (=quantile (--> # degree_Celsius) )",">, >",tasmax,day,air_temperature,time: minimum,wsdi,Warm spell duration index,Annual count of days with at least 6 consecutive days when TX>90th percentile,_,,,,,,,,,,,
wsdi{ND},0,NOT,2,56,wsdi,2,??????,1,ann,ann,,,??????,??????,"User-defined Warm Spell Duration Index, count of days with at least {ND} consecutive days when Tmax > 90th percentile",1,1,days,ET-SCI,,"threshold_days, threshold_temp","??????, air_temperature","{ND}, 0.90","day, 1 (=quantile (--> # degree_Celsius) )",">, >",tasmax,day,air_temperature,time: maximum,wsdin,User-defined WSDI,Annual count of days with at least n consecutive days when TX>90th percentile where n>= 2 (and  max 10),_,,,,,,,,,,,
csdi,0,NOT,1,57,csdi,2,??????,1,ann,ann,,,??????,??????,"Cold Spell Duration Index, count of days with at least 6 consecutive days when Tmin < 10th percentile",1,1,days,ETCCDI,,"threshold_days, threshold_temp","??????, air_temperature","6, 0.90","day, 1 (=quantile (--> # degree_Celsius) )",">, >",tasmin,day,air_temperature,time: minimum,csdi,Cold spell duration index,Annual count of days with at least 6 consecutive days when TN<10th percentile,_,,,,,,,,,,,
csdi{ND},0,NOT,2,58,csdi,2,??????,1,ann,ann,,,??????,??????,"User-defined Cold Spell Duration Index, count of days with at least # consecutive days when Tmin < 10th percentile",1,1,days,ET-SCI,,"threshold_days, threshold_temp","??????, air_temperature","{ND}, 0.90","day, 1 (=quantile (--> # degree_Celsius) )",">, >",tasmin,day,air_temperature,time: minimum,csdin,User-defined CSDI,Annual count of days with at least n consecutive days when TN<10th percentile where n>= 2 (and  max 10),_,,,,,,,,,,,
txgt50p,0,NOT,2,59,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_above_threshold,time: maximum within days time: maximum over days,Percentage of days when Tmax > 50th percentile,1,%,%,ET-SCI,,threshold,air_temperature,0.50,1 (=quantile (--> # degree_Celsius) ),>,tasmax,day,air_temperature,time: maximum,tx50p,Above average days,Number of days where TX > 50th percentile,_,,,,,,,,,,,
tn10p,0,NOT,1,60,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_below_threshold,time: minimum within days time: maximum over days,Percentage of days when Tmin < 10th percentile,1,%,%,ETCCDI,,threshold,air_temperature,0.10,1 (=quantile (--> # degree_Celsius) ),<,tasmin,day,air_temperature,time: minimum,tn10p,WMO No.1500: Cold nights (count of days),Number of days when TN < 10th percentile,_,,,,,,,,,,,
tx10p,0,NOT,1,61,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_below_threshold,time: maximum within days time: minimum over days,Percentage of days when Tmax < 10th percentile,1,%,%,ETCCDI,,threshold,air_temperature,0.10,1 (=quantile (--> # degree_Celsius) ),<,tasmax,day,air_temperature,time: maximum,tx10p,WMO No.1500: Cold day-times (count of days),Number of days when TX < 10th percentile,_,,,,,,,,,,,
tn90p,0,NOT,1,62,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_above_threshold,time: minimum within days time: minimum over days,Percentage of days when Tmin > 90th percentile,1,%,%,ETCCDI,,threshold,air_temperature,0.90,1 (=quantile (--> # degree_Celsius) ),>,tasmin,day,air_temperature,time: minimum,tn90p,WMO No.1500: Warm nights (count of days),Number of days when TN > 90th percentile,_,,,,,,,,,,,
tx90p,0,NOT,1,63,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_above_threshold,time: maximum within days time: maximum over days,Percentage of days when Tmax > 90th percentile,1,%,%,ETCCDI,,threshold,air_temperature,0.90,1 (=quantile (--> # degree_Celsius) ),>,tasmax,day,air_temperature,time: maximum,tx90p,WMO No.1500: Warm day-times (count of days),Number of days when TX > 90th percentile,_,,,,,,,,,,,
txgt{PRC}p,0,NOT,3,64,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_above_threshold,time: maximum within days time: maximum over days,Percentage of days when Tmax > {PRC}th percentile,1,%,%,CLIPC,,threshold,air_temperature,{PRC},1 (=quantile (--> # degree_Celsius) ),>,tasmax,day,air_temperature,time: maximum,_,_,_,_,,,,,,,,,,,
tngt{PRC}p,0,NOT,3,65,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_above_threshold,time: minimum within days time: maximum over days,Percentage of days when Tmin > {PRC}th percentile,1,%,%,CLIPC,,threshold,air_temperature,{PRC},1 (=quantile (--> # degree_Celsius) ),>,tasmin,day,air_temperature,time: minimum,_,_,_,_,,,,,,,,,,,
tmgt{PRC}p,0,NOT,3,66,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_above_threshold,time: mean within days time: maximum over days,Percentage of days when Tmean > {PRC}th percentile,1,%,%,CLIPC,,threshold,air_temperature,{PRC},1 (=quantile (--> # degree_Celsius) ),>,tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
txlt{PRC}p,0,NOT,3,67,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_below_threshold,time: maximum within days time: maximum over days,Percentage of days when Tmax < {PRC}th percentile,1,%,%,CLIPC,,threshold,air_temperature,{PRC},1 (=quantile (--> # degree_Celsius) ),<,tasmax,day,air_temperature,time: maximum,_,_,_,_,,,,,,,,,,,
tnlt{PRC}p,0,NOT,3,68,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_below_threshold,time: minimum within days time: maximum over days,Percentage of days when Tmin < {PRC}th percentile,1,%,%,CLIPC,,threshold,air_temperature,{PRC},1 (=quantile (--> # degree_Celsius) ),<,tasmin,day,air_temperature,time: minimum,_,_,_,_,,,,,,,,,,,
tmlt{PRC}p,0,NOT,3,69,frac,1,??????,1,ann,ann,,,fraction_of_days_with_air_temperature_below_threshold,time: mean within days time: maximum over days,Percentage of days when Tmean < {PRC}th percentile,1,%,%,CLIPC,,threshold,air_temperature,{PRC},1 (=quantile (--> # degree_Celsius) ),<,tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
dtr,1,CF-1.7,1,70,dtr,0,_,2,mon,ann,air_temperature,v65,_,time range within days time: mean over days,Mean Diurnal Temperature Range,Kelvin,degree_Celsius,degree_Celsius,ETCCDI,,_,_,_,_,_,"tasmin,tasmax",day,"air_temperature, air_temperature","time: minimum, time: maximum",dtr,Daily temperature range,Monthly mean difference between TX and TN,mean of daily temperature range,,,,,,,,,,,
tx95t,0,NOT,2,71,percentile,1,quantile,1,ann/sea/mon,ann,air_temperature,v65,_,time: maximum within days time: quantile over days,Very Warm Days threshold (95th percentile of Tmax),Kelvin,degree_Celsius,degree_Celsius,ET-SCI,"quantile: (var_name:percentile, proposed_standard_name:quantile, value:95, unit=%)",,,,,,tasmax,day,air_temperature,time: maximum,tx95t,Very warm day threshold,Value of 95th percentile of TX,95th percentile of daily maximum temperature,,,,,,,,,,,
tx{PRC}pctl,0,NOT,3,72,percentile,1,quantile,1,ann/sea/mon,ann,air_temperature,v65,_,time: maximum within days time: quantile over days,{PRC}th percentile of Tmax,Kelvin,degree_Celsius,degree_Celsius,CLIPC,"quantile: (var_name:percentile, proposed_standard_name:quantile, value:{PRC}, unit=%)",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,95th percentile of daily maximum temperature,,,,,,,,,,,
tn{PRC}pctl,0,NOT,3,73,percentile,1,quantile,1,ann/sea/mon,ann,air_temperature,v65,_,time: minimum within days time: quantile over days,{PRC}th percentile of Tmin,Kelvin,degree_Celsius,degree_Celsius,CLIPC,"quantile: (var_name:percentile, proposed_standard_name:quantile, value:{PRC}, unit=%)",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,_,,,,,,,,,,,
tm{PRC}pctl,0,NOT,3,74,percentile,1,quantile,1,ann/sea/mon,ann,air_temperature,v65,_,time: mean within days time: quantile over days,{PRC}th percentile of Tmean,Kelvin,degree_Celsius,degree_Celsius,CLIPC,"quantile: (var_name:percentile, proposed_standard_name:quantile, value:{PRC}, unit=%)",,,,,,tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
tx#tn#,0,NOT,2,75,??????,2,??????,2,ann,ann,,??????,??????,?????,?????,?????,?????,events,ET-SCI,,???,??????,???,???,">, >","tasmin,tasmax",day,"air_temperature, air_temperature","time: minimum, time: maximum",ntxntn,"User-defined consecutive number of hot days and nights, both above the 95th percentile","Annual count of n consecutive days where both TX > 95th percentile and TN > 95th percentile, where n >= 2 (and max of 10)",_,,,,,,,,,,,
tx#tn#gt#p,0,NOT,3,76,??????,3,??????,2,ann,ann,,??????,??????,_,????,????,????,events,CLIPC,,???,??????,???,???,_,"tasmin,tasmax",day,"air_temperature, air_temperature","time: minimum, time: maximum",_,_,_,_,,,,,,,,,,,
txb#tnb#,0,NOT,4,77,??????,2,??????,2,ann,ann,,??????,??????,?????,?????,?????,?????,events,ET-SCI,,???,??????,???,???,"<, <","tasmin,tasmax",day,"air_temperature, air_temperature","time: minimum, time: maximum",ntxbntnb,User-defined consecutive number of cold days and nights,Annual count of n consecutive days where both TX < 5th percentile and TN < 5th percentile where n >=2 and n <=10?,_,,,,,,,,,,,
tx#tn#lt#p,0,NOT,3,78,??????,3,??????,2,ann,ann,,??????,??????,_,????,????,????,events,CLIPC,,???,??????,???,???,"<, <","tasmin,tasmax",day,"air_temperature, air_temperature","time: minimum, time: maximum",_,_,_,_,,,,,,,,,,,
hddheat{TT},1,CF-1.5,2,79,degreesum,2,"threshold, condition",1,ann/sea/mon,ann,integral_of_air_temperature_deficit_wrt_time,v65,_,time: mean within days time: sum over days,Heating Degree Days (Tmean < {TT}C),Kelvin second,degree_Celsius day,degree-days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <",,,,,,tas,day,air_temperature,time: mean,hddheat,Heating degree days,Sum of Tb- TM (where Tb is a user- defined location-specific base temperature and TM < Tb),_,,,,,,,,,,,
ddgt{TT},1,CF-1.5,3,80,degreesum,2,"threshold, condition",1,ann/sea/mon,ann,integral_of_air_temperature_excess_wrt_time,v65,_,time: mean within days time: sum over days,Degree Days (Tmean > {TT}C),Kelvin second,degree_Celsius day,degree-days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >",,,,,,tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
cddcold{TT},1,CF-1.5,2,81,degreesum,2,"threshold, condition",1,ann/sea/mon,ann,integral_of_air_temperature_excess_wrt_time,v65,_,time: mean within days time: sum over days,Cooling Degree Days (Tmean > {TT}C),Kelvin second,degree_Celsius day,degree-days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >",,,,,,tas,day,air_temperature,time: mean,cddcold,Cooling degree days,Sum of TM - Tb (where Tb is a user- defined location-specific base temperature and TM > Tb),_,,,,,,,,,,,
ddlt{TT},1,CF-1.5,3,82,degreesum,2,"threshold, condition",1,ann/sea/mon,ann,integral_of_air_temperature_deficit_wrt_time,v65,_,time: mean within days time: sum over days,Degree Days (Tmean < {TT}C),Kelvin second,degree_Celsius day,degree-days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <",,,,,,tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
gddgrow{TT},1,CF-1.5,2,83,degreesum,2,"threshold, condition",1,ann,ann,integral_of_air_temperature_excess_wrt_time,v65,_,time: mean within days time: sum over days,Annual Growing Degree Days (Tmean > 5C),Kelvin second,degree_Celsius day,degree-days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 5, unit: degree_Celsius), condition: >",,,,,,tas,day,air_temperature,time: mean,gddgrow,Growing degree days,Annual sum of TM - Tb (where Tb is a user- defined location-specific base temperature and TM >Tb),_,,,,,,,,,,,
_,0,_,4,84,_,_,,_,_,_,_,,,_,_,_,_,_,ET-SCI,,_,_,_,_,_,_,day,_,_,hwn (ehf/ ctn90pct/ ctx90pct),Heat wave number,_,_,,,,,,,,,,,
_,0,_,4,85,_,_,,_,_,_,_,,,_,_,1,1,days,ET-SCI,,_,_,_,_,_,_,day,_,_,hwd (ehf/ ctn90pct/ ctx90pct),Heat wave duration,_,_,,,,,,,,,,,
_,0,_,4,86,_,_,,_,_,_,_,,,_,_,Kelvin,degree_Celsius,degree_Celsius,ET-SCI,,_,_,_,_,_,_,day,_,_,hwf (ehf/ ctn90pct/ ctx90pct),Heat wave day frequency,_,_,,,,,,,,,,,
_,0,_,4,87,_,_,,_,_,_,_,,,_,_,Kelvin,degree_Celsius,degree_Celsius,ET-SCI,,_,_,_,_,_,_,day,_,_,hwa (ehf/ ctn90pct/ ctx90pct),Heat wave amplitude,_,_,,,,,,,,,,,
_,0,_,4,88,_,_,,_,_,_,_,,,_,_,1,1,days,ET-SCI,,_,_,_,_,_,_,day,_,_,hwm (ehf/ ctn90pct/ ctx90pct),Heat wave mean,_,_,,,,,,,,,,,
_,0,_,4,89,_,_,,_,_,_,_,,,_,_,1,1,1,ET-SCI,,_,_,_,_,_,_,day,_,_,hwmi,Heat Wave Magnitude Index,_,_,,,,,,,,,,,
r10mm,1,CF-1.5,1,91,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_lwe_thickness_of_precipitation_amount_above_threshold,v65,number_of_occurrences_with_lwe_thickness_of_precipitation_amount_at_or_above_threshold,time: sum within days time: sum over days,Number of heavy precipitation days (Precip >=10mm),1,1,days,ETCCDI,"threshold: (var_name: threshold, standard_name:lwe_thickness_of_precipitation_amount, value: 10, unit: mm day-1), condition: >=",,,,,,pr,day,precipitation_flux,time: mean,r10mm,Number of heavy precipitation days,Count of days when P>=10mm,count of days when daily total precipitation is above 10 mm,,,,,,,,,,,
r20mm,1,CF-1.5,1,92,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_lwe_thickness_of_precipitation_amount_above_threshold,v65,number_of_occurrences_with_lwe_thickness_of_precipitation_amount_at_or_above_threshold,time: sum within days time: sum over days,Number of very heavy precipitation days (Precip >= 20mm),1,1,days,ETCCDI,"threshold: (var_name: threshold, standard_name:lwe_thickness_of_precipitation_amount, value: 20, unit: mm day-1), condition: >=",,,,,,pr,day,precipitation_flux,time: mean,r20mm,Number of very heavy precipitation days,Count of days when P>=20mm,count of days when daily total precipitation is above 20 mm,,,,,,,,,,,
r{RT}mm,1,CF-1.5,1,93,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_lwe_thickness_of_precipitation_amount_above_threshold,v65,number_of_occurrences_with_lwe_thickness_of_precipitation_amount_at_or_above_threshold,time: sum within days time: sum over days,Number of days with daily Precip >= {RT}mm),1,1,days,ETCCDI,"threshold: (var_name: threshold, standard_name:lwe_thickness_of_precipitation_amount, value: {RT}, unit: mm day-1), condition: >=",,,,,,pr,day,precipitation_flux,time: mean,rnnmm,Number of days above a user-defined threshold,_,count of days when daily total precipitation is above X mm,,,,,,,,,,,
wetdays,1,CF-1.5,3,94,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_lwe_thickness_of_precipitation_amount_above_threshold,v65,number_of_occurrences_with_lwe_thickness_of_precipitation_amount_at_or_above_threshold,time: sum within days time: sum over days,Number of Wet Days (precip >= 1 mm),1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name:lwe_thickness_of_precipitation_amount, value: 1, unit: mm day-1), condition: >=",,,,,,pr,day,precipitation_flux,time: mean,_,_,_,_,,,,,,,,,,,
cdd,1,CF-1.5,1,95,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_lwe_thickness_of_precipitation_amount_below_threshold,v65,spell_length_with_lwe_thickness_of_precipitation_amount_below_threshold,time: sum within days time: sum over days (dry days),Maximum consecutive dry days (Precip < 1mm),day,day,days,ETCCDI,"threshold: (var_name: threshold, standard_name:lwe_thickness_of_precipitation_amount, value: 1, unit: mm day-1), condition: <, reducer: maximum",,,,,,pr,day,precipitation_flux,time: mean,cdd,Consecutive dry days,Maximum number of consecutive days with P<1mm,maximum consecutive days when daily total precipitation is below 1 mm,,,,,,,,,,,
cwd,1,CF-1.5,1,96,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_lwe_thickness_of_precipitation_amount_above_threshold,v65,spell_length_with_lwe_thickness_of_precipitation_amount_at_or_above_threshold,time: sum within days time: sum over days (wet days),Maximum consecutive wet days (Precip >= 1mm),day,day,days,ETCCDI,"threshold: (var_name: threshold, standard_name:lwe_thickness_of_precipitation_amount, value: 1, unit: mm day-1, condition: >=, reducer: maximum",,,,,,pr,day,precipitation_flux,time: mean,cwd,Consecutive wet days,Maximum number of consecutive days with P>=1mm,maximum consecutive days when daily total precipitation is at least 1 mm,,,,,,,,,,,
prcptot,1,CF-1.5,1,97,thresholded_statistics,3,"threshold, condition, reducer",1,ann/sea/mon,ann,lwe_thickness_of_precipitation_amount,v65,_,time: sum within days time: mean over days (wet days),Total precipitation during Wet Days,meter second-1,mm FREQ-1,mm,ETCCDI,"threshold: (var_name: threshold, standard_name:lwe_thickness_of_precipitation_amount, value: 1, unit: mm day-1), condition: >=, reducer: sum",,,,,,pr,day,precipitation_flux,time: mean,prcptot,Total wet- day precipitation,PRCP from wet days (P>=1mm),sum of total daily precipitation during days having at least 1 mm,,,,,,,,,,,
sdii,1,CF-1.5,1,98,thresholded_statistics,3,"threshold, condition, reducer",1,ann/sea/mon,ann,lwe_thickness_of_precipitation_amount,v65,_,time: sum within days time: sum over days (wet days),Average precipitation during Wet Days (SDII),meter second-1,mm day-1,mm day-1,ETCCDI,"threshold: (var_name: threshold, standard_name:lwe_thickness_of_precipitation_amount, value: 1, unit: mm day-1), condition: >=, reducer: mean",,,,,,pr,day,precipitation_flux,time: mean,sdii,Simple precipitation intensity index,PRCPTOT / Nwetdays,mean daily total precipitation during days having at least 1 mm,,,,,,,,,,,
r95ptot,0,,1,99,_,2,"threshold, quantile",1,ann/sea/mon,ann,_,_,??????,??????,??????,??????,??????,??????,ETCCDI,,"threshold, quantile","lwe_thickness_of_precipitation_amount, ??????","1, 0.95","mm day-1 , 1",>,pr,day,??????,time: sum (only days having 1 mm day-1),r95ptot,Contribution from very wet days,Total precipitation amount when RR > 95th pctl on wet days,_,,,,,,,,,,,
r99ptot,0,,1,100,_,2,"threshold, quantile",1,ann/sea/mon,ann,_,_,??????,??????,??????,??????,??????,??????,ETCCDI,,"threshold, quantile","lwe_thickness_of_precipitation_amount, ??????","1, 0.99","mm day-1 , 1",>,pr,day,??????,time: sum (only days having 1 mm day-1),r99ptot,Contribution from extremely wet days,Total precipitation amount when RR > 99th pctl on wet days,_,,,,,,,,,,,
r{PRC}ptot,0,,3,101,_,2,"threshold, quantile",1,ann/sea/mon,ann,_,_,??????,??????,??????,??????,??????,??????,CLIPC,,"threshold, quantile","lwe_thickness_of_precipitation_amount, ??????","1, {PRC}","mm day-1 , 1",>,pr,day,??????,time: sum (only days having 1 mm day-1),_,_,_,_,,,,,,,,,,,
r95p,0,,2,102,_,2,"threshold, quantile",1,ann/sea/mon,ann,_,_,??????,??????,??????,1,1,%,ET-SCI,,"threshold, quantile","lwe_thickness_of_precipitation_amount, ??????","1, 0.95","mm day-1 , 1",>,pr,day,??????,time: sum (only days having 1 mm day-1),r95p,Contribution from very wet days,Annual total precipitation amount when RR > 95th pctl on wet days,_,,,,,,,,,,,
r99p,0,,2,103,_,2,"threshold, quantile",1,ann/sea/mon,ann,_,_,??????,??????,??????,1,1,%,ET-SCI,,"threshold, quantile","lwe_thickness_of_precipitation_amount, ??????","1, 0.99","mm day-1 , 1",>,pr,day,??????,time: sum (only days having 1 mm day-1),r99p,Contribution from extremely wet days,Annual percentage of P>99th percentile /  PRCPTOT,_,,,,,,,,,,,
r{PRC}pctl,0,,3,104,_,2,"threshold, quantile",1,ann/sea/mon,ann,_,_,??????,??????,??????,1,1,%,CLIPC,,"threshold, quantile","lwe_thickness_of_precipitation_amount, ??????","1, {PRC}","mm day-1 , 1",>,pr,day,??????,time: sum (only days having 1 mm day-1),_,_,_,_,,,,,,,,,,,
rx1day,0,,1,105,_,2,"threshold, duration",1,ann/sea/mon,ann,lwe_thickness_of_precipitation_amount,v65,_,time: sum within days time: maximum over days (wet days),Maximum 1-day precipitation,meter,mm,mm,ETCCDI,,"threshold, duration",??????,1,day,=,pr,day,??????,time: sum (only days having 1 mm day-1),rx1day,Monthly maximum 1-day precipitation,Maximum one-day precipitation,_,,,,,,,,,,,
rx5day,0,,1,106,_,2,"threshold, duration",1,ann/sea/mon,ann,lwe_thickness_of_precipitation_amount,v65,_,time: sum within days time: maximum over days (wet days),Maximum 5-day precipitation,meter,mm,mm,ETCCDI,,"threshold, duration",??????,5,day,=,pr,day,??????,time: sum (only days having 1 mm day-1),rx5day,Monthly maximum 5-day precipitation,Maximum consecutive five-day precipitation,_,,,,,,,,,,,
rx{ND}day,0,,2,107,_,2,"threshold, duration",1,ann/sea/mon,ann,lwe_thickness_of_precipitation_amount,v65,_,time: sum within days time: maximum over days (wet days),Maximum {ND}-day precipitation,meter,mm,mm,ET-SCI,,"threshold, duration",??????,{ND},day,=,pr,day,??????,time: sum (only days having 1 mm day-1),rxnday,User-defined consecutive days precipitation amount,Maximum consecutive n-day precipitation,_,,,,,,,,,,,
_,0,,4,108,_,_,,_,_,_,_,,,_,_,_,_,1,ET-SCI,,_,_,_,_,_,_,day,_,_,spiflex (spi?),Standardised Precipitation Index,_,_,,,,,,,,,,,
_,0,,4,109,_,_,,_,_,_,_,,,_,_,_,_,1,ET-SCI,,_,_,_,_,_,_,day,_,_,speiflex (spei?),Standardised Precipitation Evapotranspiration Index,_,_,,,,,,,,,,,
gd4,0,,5,111,degreesum,1,threshold,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,gd4,like gddgrow but with +4 C threshold,_,_,,,,,,,,,,,
ctnlt0,0,,5,112,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,cfd,consecutive frost days,_,_,,,,,,,,,,,
tmlt{PRC}p,0,,5,113,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,tg10p,_,_,_,,,,,,,,,,,
_,0,,5,114,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,cd,Cool and Dry: Days with TM < 25 percentile and RR < 25 percentile,_,_,,,,,,,,,,,
_,0,,5,115,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,cw,Cool and Wet: Days with TM < 25 percentile and RR > 75 percentile,_,_,,,,,,,,,,,
_,0,,5,116,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,wd,Warm and Dry: Days with TM > 75 percentile and RR < 25 percentile,_,_,,,,,,,,,,,
_,0,,5,117,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,ww,Warm and Wet: Days with TM > 75 percentile and RR > 75 percentile,_,_,,,,,,,,,,,
_,0,,5,118,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,hi,Huglin index,_,_,,,,,,,,,,,
_,0,,5,119,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,bedd,Biologically Effective Degree Days,_,_,,,,,,,,,,,
tmgt90p,0,,5,120,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,tg90p,_,_,_,,,,,,,,,,,
ctxgt25,0,,5,121,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,csu,consecutive summer days,_,_,,,,,,,,,,,
_,0,,5,122,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,rr,Precipitation sum,_,_,,,,,,,,,,,
wetdays,0,,5,123,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,rr1,_,_,_,,,,,,,,,,,
r{PRC}pctl,0,,5,124,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,r75p,_,_,_,,,,,,,,,,,
r{PRC}ptot,0,,5,125,_,_,,_,_,,_,,,_,_,_,_,_,ECA&D,,_,_,_,_,_,_,day,_,_,r75ptot,_,_,_,,,,,,,,,,,
