VarName,ready,Conventions,category,orig_order,index_function,N_parameters,parameter_name,N_inputs,allowed_freq,default_freq,OUTPUT_standard_name,OUTPUT_standard_name_table_version,OUTPUT_proposed_standard_name,OUTPUT_cell_methods,OUTPUT_long_name,OUTPUT_canonical_units,OUTPUT_units,OUTPUT_user_units,OUTPUT_reference,PARAMETER_definition,PARAMETER_VarName,PARAMETER_standard_name,PARAMETER_value,PARAMETER_units,PARAMETER_relop,INPUT_variable,INPUT_timeresol,INPUT_standard_name,INPUT_cell_methods,ET_short_name,ET_long_name,ET_definition,ET_comment,,,,,,,,,,,
tmge10,1,CF-1.5,2,12,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: mean within days time: sum over days,Number of days with Tmean >= 10C,1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 10, unit: degree_Celsius), condition: <",,,,,,tas,day,air_temperature,time: mean,tm10a,TM above 10C,Count when TM >= 10ºC,count of days when daily mean temperature is above plus 10 degC,,,,,,,,,,,
tmlt10,1,CF-1.5,2,13,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_ocurrences_with_air_temperature_below_threshold,time: mean within days time: sum over days,Number of days with Tmean < 10C,1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 10, unit: degree_Celsius), condition: >=",,,,,,tas,day,air_temperature,time: mean,tm10b,TM below 10C,Count when TM < 10ºC,count of days when daily mean temperature is below plus 10 degC,,,,,,,,,,,
tngt{TT},1,CF-1.5,3,14,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_above_threshold,time: minimum within days time: sum over days,Number of days with Tmin > {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is above {TT} degC,,,,,,,,,,,
tnlt{TT},1,CF-1.5,3,15,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_below_threshold,time: minimum within days time: sum over days,Number of days with Tmin < {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is below {TT} degC,,,,,,,,,,,
tnge{TT},0,CF-1.5,3,16,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: minimum within days time: sum over days,Number of days with Tmin >= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is above or equal {TT} degC,,,,,,,,,,,
tnle{TT},0,CF-1.5,3,17,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_at_or_below_threshold,time: minimum within days time: sum over days,Number of days with Tmin <= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is below or equal{TT} degC,,,,,,,,,,,
txgt{TT},1,CF-1.5,3,18,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_above_threshold,time: maximum within days time: sum over days,Number of days with Tmax > {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is above {TT} degC,,,,,,,,,,,
txlt{TT},1,CF-1.5,3,19,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_below_threshold,time: maximum within days time: sum over days,Number of days with Tmax < {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is below {TT} degC,,,,,,,,,,,
txge{TT},0,CF-1.5,3,20,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: maximum within days time: sum over days,Number of days with Tmax >= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is above or equal {TT} degC,,,,,,,,,,,
txle{TT},0,CF-1.5,3,21,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_at_or_below_threshold,time: maximum within days time: sum over days,Number of days with Tmax <= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is below or equal {TT} degC,,,,,,,,,,,
tmgt{TT},1,CF-1.5,3,22,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_above_threshold,time: mean within days time: sum over days,Number of days with Tmean > {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is above {TT} degC,,,,,,,,,,,
tmlt{TT},1,CF-1.5,3,23,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_below_threshold,time: mean within days time: sum over days,Number of days with Tmean < {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is below {TT} degC,,,,,,,,,,,
tmge{TT},0,CF-1.5,3,24,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: mean within days time: sum over days,Number of days with Tmean >= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is above or equal {TT} degC,,,,,,,,,,,
tmle{TT},0,CF-1.5,3,25,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_at_or_below_threshold,time: mean within days time: sum over days,Number of days with Tmean <= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is below or equal{TT} degC,,,,,,,,,,,
ctngt{TT},1,CF-1.5,3,26,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_above_threshold,time: minimum within days time: maximum over days,Maximum number of consequtive days with Tmin > {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >, reducer: maximum",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is above {TT} degC,,,,,,,,,,,
ctnlt{TT},1,CF-1.5,3,27,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_below_threshold,time: minimum within days time: maximum over days,Maximum number of consequtive days with Tmin < {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <, reducer: maximum",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is below {TT} degC,,,,,,,,,,,
ctnge{TT},0,CF-1.5,3,28,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_at_or_above_threshold,time: minimum within days time: maximum over days,Maximum number of consequtive days with Tmin >= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=, reducer: maximum",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is above or equal {TT} degC,,,,,,,,,,,
ctnle{TT},0,CF-1.5,3,29,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_at_or_below_threshold,time: minimum within days time: maximum over days,Maximum number of consequtive days with Tmin <= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=, reducer: maximum",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is below or equal{TT} degC,,,,,,,,,,,
ctxgt{TT},1,CF-1.5,3,30,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_above_threshold,time: maximum within days time: maximum over days,Maximum number of consequtive days with Tmax > {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >, reducer: maximum",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is above {TT} degC,,,,,,,,,,,
ctxlt{TT},1,CF-1.5,3,31,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_below_threshold,time: maximum within days time: maximum over days,Maximum number of consequtive days with Tmax < {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <, reducer: maximum",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is below {TT} degC,,,,,,,,,,,
ctxge{TT},0,CF-1.5,3,32,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_at_or_above_threshold,time: maximum within days time: maximum over days,Maximum number of consequtive days with Tmax >= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=, reducer: maximum",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is above or equal {TT} degC,,,,,,,,,,,
ctxle{TT},0,CF-1.5,3,33,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_at_or_below_threshold,time: maximum within days time: maximum over days,Maximum number of consequtive days with Tmax <= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=, reducer: maximum",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is below or equal {TT} degC,,,,,,,,,,,
ctmgt{TT},1,CF-1.5,3,34,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_above_threshold,time: mean within days time: maximum over days,Maximum number of consequtive days with Tmean > {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >, reducer: maximum",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is above {TT} degC,,,,,,,,,,,
ctmlt{TT},1,CF-1.5,3,35,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_below_threshold,time: mean within days time: maximum over days,Maximum number of consequtive days with Tmean < {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <, reducer: maximum",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is below {TT} degC,,,,,,,,,,,
ctmge{TT},0,CF-1.5,3,36,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_at_or_above_threshold,time: mean within days time: maximum over days,Maximum number of consequtive days with Tmean >= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=, reducer: maximum",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is above or equal {TT} degC,,,,,,,,,,,
ctmle{TT},0,CF-1.5,3,37,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_at_or_below_threshold,time: mean within days time: maximum over days,Maximum number of consequtive days with Tmean <= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=, reducer: maximum",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is below or equal{TT} degC,,,,,,,,,,,
